arm,dataset,n,weighting,rule,bandwidth,h_over_sd,w1,mass_below_zero,model_sd_ratio
empirical,AccessFlooring,53,Uniform,scott,0.3820524883150533,0.4791270509923671,0.13197954486152105,0.09691027369631978,1.0960525682385833
empirical,AccessFlooring,53,Uniform,silverman,0.31773725844422124,0.3984701586428092,0.1273740542584842,0.08128653724520575,1.0818339006527273
empirical,AccessFlooring,53,Uniform,silverman_guarded,0.31773725844422124,0.3984701586428092,0.1273740542584842,0.08128653724520575,1.0818339006527273
empirical,AccessFlooring,53,Variable,scott,0.4145030458083244,0.5510953681070727,0.16219090850111756,0.1048596413396329,1.023800753886374
empirical,AccessFlooring,53,Variable,silverman,0.3519365483278226,0.4679111616003448,0.14003907264441592,0.09151117977278012,1.009767900987624
empirical,AccessFlooring,53,Variable,silverman_guarded,0.3519365483278226,0.4679111616003448,0.14003907264441592,0.09151117977278012,1.009767900987624
empirical,AccessFlooringPedestals,13,Uniform,scott,0.407463852708006,0.6346250268739874,0.17393585910954393,0.07897783141442083,0.960688720695869
empirical,AccessFlooringPedestals,13,Uniform,silverman,0.34595987494075986,0.5388325699873479,0.1573648241743622,0.06453199119019548,0.9394514521934757
empirical,AccessFlooringPedestals,13,Uniform,silverman_guarded,0.34595987494075986,0.5388325699873479,0.1573648241743622,0.06453199119019548,0.9394514521934757
empirical,AccessFlooringPedestals,13,Variable,scott,0.48801369973549397,0.6761661735774762,0.20412314908121493,0.1277654182372196,1.0552977671863442
empirical,AccessFlooringPedestals,13,Variable,silverman,0.39269434398416075,0.544096676181845,0.17032041932669417,0.10910874445762181,1.0225856441943015
empirical,AccessFlooringPedestals,13,Variable,silverman_guarded,0.41435125449240057,0.5741033549242723,0.17752982240018217,0.11334049393480677,1.0293486966757028
empirical,AcousticalCeilings,412,Uniform,scott,0.5274936432447045,0.31792627530445644,0.40578352623938463,0.19418056878226814,1.0982695720283728
empirical,AcousticalCeilings,412,Uniform,silverman,0.14655159097892287,0.08832827097834202,0.14192790001716532,0.04535535230925013,1.0344097222620865
empirical,AcousticalCeilings,412,Uniform,silverman_guarded,0.14655159097892287,0.08832827097834202,0.14192790001716532,0.04535535230925013,1.0344097222620865
empirical,AcousticalCeilings,412,Variable,scott,0.5981058012461656,0.36626532743159523,0.3732649040613002,0.21507739664776732,1.1003165543867663
empirical,AcousticalCeilings,412,Variable,silverman,0.14006772729384198,0.08577404180496119,0.054915953765203376,0.04200127204674733,1.0181768779033271
empirical,AcousticalCeilings,412,Variable,silverman_guarded,0.14006772729384198,0.08577404180496119,0.054915953765203376,0.04200127204674733,1.0181768779033271
empirical,Aggregates,378,Uniform,scott,2.342142279801388,0.3234502605365573,1.8229548188500029,0.4251965263536337,1.0136755598608567
empirical,Aggregates,378,Uniform,silverman,0.13550980838668947,0.01871392835778127,0.8255153910616979,0.30127063489260597,0.9224733900267357
empirical,Aggregates,378,Uniform,silverman_guarded,0.13550980838668947,0.01871392835778127,0.8255153910616979,0.30127063489260597,0.9224733900267357
empirical,Aggregates,378,Variable,scott,3.4304911621570575,0.3664283288629094,3.2389545468326433,0.4401632113271275,1.3184361488609793
empirical,Aggregates,378,Variable,silverman,0.1788041916100985,0.01909899137713394,1.3000822739675717,0.3049369460471051,1.1938251168930012
empirical,Aggregates,378,Variable,silverman_guarded,0.1788041916100985,0.01909899137713394,1.3000822739675717,0.3049369460471051,1.1938251168930012
empirical,AluminiumBillets,120,Uniform,scott,0.35219933940264636,0.40688306661561996,0.1418956535165247,0.08834675314284925,0.9504112002246726
empirical,AluminiumBillets,120,Uniform,silverman,0.2613614938764155,0.301941412792089,0.11535288089629084,0.06492806064629092,0.9360274041017277
empirical,AluminiumBillets,120,Uniform,silverman_guarded,0.2613614938764155,0.301941412792089,0.11535288089629084,0.06492806064629092,0.9360274041017277
empirical,AluminiumBillets,120,Variable,scott,0.4345456917879511,0.462253318300854,0.1694737237654259,0.10780904645011459,1.0442219232226964
empirical,AluminiumBillets,120,Variable,silverman,0.30226850135518096,0.32154183187125274,0.11114037294939405,0.07460440502479408,1.02115302122112
empirical,AluminiumBillets,120,Variable,silverman_guarded,0.30226850135518096,0.32154183187125274,0.11114037294939405,0.07460440502479408,1.02115302122112
empirical,AluminiumExtrusions,36,Uniform,scott,0.42330331911512903,0.517660902446422,0.1474792804546809,0.07113631731903797,1.030661663192464
empirical,AluminiumExtrusions,36,Uniform,silverman,0.18460293075219283,0.22575235159317014,0.09213263163930216,0.016725875873418224,0.9691456423226611
empirical,AluminiumExtrusions,36,Uniform,silverman_guarded,0.18460293075219283,0.22575235159317014,0.09213263163930216,0.016725875873418224,0.9691456423226611
empirical,AluminiumExtrusions,36,Variable,scott,0.49625579475014875,0.5773288220344819,0.18108479220868431,0.09515862592051043,1.0971074247056252
empirical,AluminiumExtrusions,36,Variable,silverman,0.2571576573769166,0.29916935778112175,0.08256387591322772,0.03308299806628175,1.030872577901284
empirical,AluminiumExtrusions,36,Variable,silverman_guarded,0.4213492596935225,0.4901848488972016,0.1442557739768458,0.07471238801151237,1.0738745547977822
empirical,AluminiumSheetGoods,26,Uniform,scott,0.4598162157506317,0.5524731746269678,0.2731102819247563,0.12139726926330471,1.1507541595054884
empirical,AluminiumSheetGoods,26,Uniform,silverman,0.37739541410717414,0.45344386600433456,0.23100856374970424,0.09634665468306777,1.134633751947018
empirical,AluminiumSheetGoods,26,Uniform,silverman_guarded,0.3904099945052534,0.46908099732478403,0.2376049888306456,0.10055367373982929,1.1369238398929764
empirical,AluminiumSheetGoods,26,Variable,scott,0.4708908430933986,0.6181798272438637,0.20848160035300553,0.12881773947470568,1.072714632052981
empirical,AluminiumSheetGoods,26,Variable,silverman,0.353792884991538,0.4644550382152953,0.15665225003607264,0.09066161126105302,1.0465472985294837
empirical,AluminiumSheetGoods,26,Variable,silverman_guarded,0.39981297998496107,0.5248696646410164,0.17633185828839337,0.10672012562435441,1.0558110495432471
empirical,AluminiumSiding,3,Uniform,scott,0.44932352318781144,0.8509060554658445,0.28748190534961376,0.07708052588027729,1.0760626154828552
empirical,AluminiumSiding,3,Uniform,silverman,0.3815011045934248,0.7224674055842076,0.2812971030545254,0.06144232712028504,1.0374293373570895
empirical,AluminiumSiding,3,Uniform,silverman_guarded,0.3815011045934248,0.7224674055842076,0.2812971030545254,0.06144232712028504,1.0374293373570895
empirical,AluminiumSiding,3,Variable,scott,0.5136803811492383,0.9018221145093058,0.2721571606049785,0.07354299609040939,1.1621409889483487
empirical,AluminiumSiding,3,Variable,silverman,0.4361437198436928,0.765698021753184,0.24691024825810592,0.061041343794705306,1.1124468041764746
empirical,AluminiumSiding,3,Variable,silverman_guarded,0.4361437198436928,0.765698021753184,0.24691024825810592,0.061041343794705306,1.1124468041764746
empirical,AluminiumSuspensionAssembly,22,Uniform,scott,0.6865592450070178,0.5712435758877449,0.34052353052266826,0.22800466770300531,0.9157096346478216
empirical,AluminiumSuspensionAssembly,22,Uniform,silverman,0.4615345573196864,0.3840144209497464,0.27773731703854293,0.20092451187093893,0.8916521406480494
empirical,AluminiumSuspensionAssembly,22,Uniform,silverman_guarded,0.5829276608550151,0.4850181304707268,0.30850177871448775,0.21545394679700638,0.9028969868337426
empirical,AluminiumSuspensionAssembly,22,Variable,scott,0.8799833352109625,0.6419210716913,0.5576494589049298,0.2259181112932407,1.049071714371018
empirical,AluminiumSuspensionAssembly,22,Variable,silverman,0.5190512078491242,0.3786320652598453,0.3861648285481548,0.18369677226783562,1.008099413600053
empirical,AluminiumSuspensionAssembly,22,Variable,silverman_guarded,0.7471556619715719,0.545027325020915,0.49095401937727123,0.21059975621159857,1.0309686473795483
empirical,Asphalt,7232,Uniform,scott,0.04750075076793008,0.17924794351454434,0.008580480441839311,1.302072590855514e-12,1.0405900114310447
empirical,Asphalt,7232,Uniform,silverman,0.031071732287878823,0.11725170705716507,0.006335482454821448,0.0,1.0311841567988544
empirical,Asphalt,7232,Uniform,silverman_guarded,0.031071732287878823,0.11725170705716507,0.006335482454821448,0.0,1.0311841567988544
empirical,Asphalt,7232,Variable,scott,0.05341236570401809,0.20627752572610047,0.006109325589095851,1.908441204100032e-12,1.021966266814751
empirical,Asphalt,7232,Variable,silverman,0.03485622122735591,0.13461405380888544,0.003159287104943196,3.6321423772610244e-14,1.0098107717843727
empirical,Asphalt,7232,Variable,silverman_guarded,0.03485622122735591,0.13461405380888544,0.003159287104943196,3.6321423772610244e-14,1.0098107717843727
empirical,BackingAndUnderlay,45,Uniform,scott,0.7066122660918897,0.49506629809820224,0.41721770388119583,0.2377990951096117,1.0613810820752816
empirical,BackingAndUnderlay,45,Uniform,silverman,0.25516602310359293,0.1787742790781226,0.17567978444107873,0.12960219880374638,1.01541521553348
empirical,BackingAndUnderlay,45,Uniform,silverman_guarded,0.25516602310359293,0.1787742790781226,0.17567978444107873,0.12960219880374638,1.01541521553348
empirical,BackingAndUnderlay,45,Variable,scott,0.7833068643545407,0.5388886812876161,0.542783636094978,0.24847806819321167,1.0747809173373928
empirical,BackingAndUnderlay,45,Variable,silverman,0.3367588304323621,0.23167870767121992,0.25258416049520105,0.15614209974528648,1.037328507947628
empirical,BackingAndUnderlay,45,Variable,silverman_guarded,0.6650718659614023,0.4575469935460891,0.4665941072374336,0.2301495416283025,1.0635639222095323
empirical,BituminousRoofing,66,Uniform,scott,0.4046887702374265,0.45856096025362697,0.12569218888582823,0.08205142771040527,1.014748068862982
empirical,BituminousRoofing,66,Uniform,silverman,0.24618839131181952,0.2789610026910579,0.08944856859919559,0.033837785756201305,0.9821403561781644
empirical,BituminousRoofing,66,Uniform,silverman_guarded,0.24618839131181952,0.2789610026910579,0.08944856859919559,0.033837785756201305,0.9821403561781644
empirical,BituminousRoofing,66,Variable,scott,0.469543343708497,0.508174747901091,0.17662496624626434,0.10104045254255593,1.0707927085211295
empirical,BituminousRoofing,66,Variable,silverman,0.2937834597082215,0.317954322162472,0.09695018629000249,0.048369811795450475,1.0338732877231767
empirical,BituminousRoofing,66,Variable,silverman_guarded,0.2937834597082215,0.317954322162472,0.09695018629000249,0.048369811795450475,1.0338732877231767
empirical,BlanketFacing,28,Uniform,scott,0.35945684516717374,0.5443450261573565,0.25956286673810025,0.04994123199279438,1.514503488707776
empirical,BlanketFacing,28,Uniform,silverman,0.16683768159602924,0.2526513637824495,0.2122313941380265,0.02032192740134666,1.41714795295303
empirical,BlanketFacing,28,Uniform,silverman_guarded,0.30519920816080787,0.46217973919020827,0.24312392689060608,0.04034595229211799,1.4806234987590539
empirical,BlanketFacing,28,Variable,scott,0.29059717936720103,0.6149631228457934,0.08688889419205575,0.047009200435985,1.1031523622099713
empirical,BlanketFacing,28,Variable,silverman,0.19662434958806835,0.4160973768345153,0.06396021017479922,0.028355791455645103,1.0447308645662459
empirical,BlanketFacing,28,Variable,silverman_guarded,0.24673345417969902,0.5221385005294472,0.07453068819359338,0.03773802052243487,1.0735902449595276
empirical,BlanketInsulation [mineral wool],184,Uniform,scott,0.39950270635840185,0.37354446072882447,0.24422266354201752,0.07142132810682919,1.301833216092758
empirical,BlanketInsulation [mineral wool],184,Uniform,silverman,0.1283908798785593,0.12004850336035047,0.11948184710647075,0.0026931406775109407,1.2386533548430783
empirical,BlanketInsulation [mineral wool],184,Uniform,silverman_guarded,0.1283908798785593,0.12004850336035047,0.11948184710647075,0.0026931406775109407,1.2386533548430783
empirical,BlanketInsulation [mineral wool],184,Variable,scott,0.37148417520236643,0.4270588185596323,0.1339763243041474,0.06805243922283984,1.0706317003130512
empirical,BlanketInsulation [mineral wool],184,Variable,silverman,0.13709737575995368,0.15760736857169583,0.03488179007474622,0.003927104961168342,1.0125250152473486
empirical,BlanketInsulation [mineral wool],184,Variable,silverman_guarded,0.13709737575995368,0.15760736857169583,0.03488179007474622,0.003927104961168342,1.0125250152473486
empirical,BlanketInsulation [other],3,Uniform,scott,0.6424375380436683,0.8509060554658446,0.5974690235935141,0.1684856899017118,2.3523280100551323
empirical,BlanketInsulation [other],3,Uniform,silverman,0.5454658341880202,0.7224674055842075,0.5672645445490903,0.1541288892819762,2.263090983356695
empirical,BlanketInsulation [other],3,Uniform,silverman_guarded,0.5454658341880202,0.7224674055842075,0.5672645445490903,0.1541288892819762,2.263090983356695
empirical,BlanketInsulation [other],3,Variable,scott,0.33489730633265496,0.9791588088680993,0.22326391132106896,0.07339663651413772,1.163380081198366
empirical,BlanketInsulation [other],3,Variable,silverman,0.28434676952772586,0.8313612528125369,0.2009399902647157,0.06728574151081189,1.085652184699505
empirical,BlanketInsulation [other],3,Variable,silverman_guarded,0.28434676952772586,0.8313612528125369,0.2009399902647157,0.06728574151081189,1.085652184699505
empirical,BlanketInsulation [type not stated],129,Uniform,scott,0.46598435327913734,0.401040213866079,0.29146399051411154,0.12425670596347574,1.0370380551435534
empirical,BlanketInsulation [type not stated],129,Uniform,silverman,0.16085893673543572,0.1384400612095347,0.13054745128407547,0.015020763081587727,0.9867785661324104
empirical,BlanketInsulation [type not stated],129,Uniform,silverman_guarded,0.16085893673543572,0.1384400612095347,0.13054745128407547,0.015020763081587727,0.9867785661324104
empirical,BlanketInsulation [type not stated],129,Variable,scott,0.5442734324534128,0.4570901218276091,0.26384662183722485,0.1570477745675732,1.0856126473030143
empirical,BlanketInsulation [type not stated],129,Variable,silverman,0.1723638895493571,0.14475413748867835,0.05211861221050579,0.0201925687945416,1.013759302531477
empirical,BlanketInsulation [type not stated],129,Variable,silverman_guarded,0.1723638895493571,0.14475413748867835,0.05211861221050579,0.0201925687945416,1.013759302531477
empirical,BlownInsulation [cellulose],3,Uniform,scott,0.9643284386668978,0.8509060554658446,0.7025184801807591,0.28004123151784105,1.006759703309624
empirical,BlownInsulation [cellulose],3,Uniform,silverman,0.36612991843440373,0.3230664493455472,0.3401116495463586,0.19648487071665957,0.9685989483492339
empirical,BlownInsulation [cellulose],3,Uniform,silverman_guarded,0.8187694290568,0.7224674055842076,0.6334147271751526,0.26964635052271646,0.9807247254057001
empirical,BlownInsulation [cellulose],3,Variable,scott,1.0859608531706972,0.9244799964394895,0.7921954689697992,0.2849849808521497,1.0484658189119263
empirical,BlownInsulation [cellulose],3,Variable,silverman,0.48040252098502306,0.4089673394699674,0.48822604876124304,0.23670325422254382,0.9786170542147974
empirical,BlownInsulation [cellulose],3,Variable,silverman_guarded,0.9220422338241769,0.784935846033529,0.7212781824496957,0.2763476998232582,1.0107224005174198
empirical,BlownInsulation [type not stated],16,Uniform,scott,0.3911110797158353,0.6088101281484285,0.19014359646158416,0.04514002690624484,1.2394004557089886
empirical,BlownInsulation [type not stated],16,Uniform,silverman,0.1863035806470128,0.2900033077319816,0.13346790326630464,0.00269287888114956,1.1452337705013915
empirical,BlownInsulation [type not stated],16,Uniform,silverman_guarded,0.3320754450417469,0.5169142597486657,0.17449014836369778,0.029105448075541954,1.210167794282033
empirical,BlownInsulation [type not stated],16,Variable,scott,0.4384778084992943,0.7520991769781891,0.18985372124412203,0.044213322500686776,1.1843662576176135
empirical,BlownInsulation [type not stated],16,Variable,silverman,0.12589955596817978,0.21594924666692653,0.07250681226635966,0.00014851397638835216,1.02314689997509
empirical,BlownInsulation [type not stated],16,Variable,silverman_guarded,0.37229247891449513,0.6385747729060096,0.16940770015389367,0.029569125162589853,1.1437143093077775
empirical,BoardInsulation [EPS],47,Uniform,scott,0.7452605354796544,0.49077936422137036,0.5131286358959393,0.21677875979671704,1.6523976647658882
empirical,BoardInsulation [EPS],47,Uniform,silverman,0.2997091936500117,0.19736867915082013,0.31777174638323735,0.11247731465584433,1.5543967075115934
empirical,BoardInsulation [EPS],47,Uniform,silverman_guarded,0.2997091936500117,0.19736867915082013,0.31777174638323735,0.11247731465584433,1.5543967075115934
empirical,BoardInsulation [EPS],47,Variable,scott,0.5760963042510928,0.5667781108788824,0.30947304755211846,0.1844982274748625,1.069977379345971
empirical,BoardInsulation [EPS],47,Variable,silverman,0.3572397318174814,0.3514614810688687,0.1826558309708839,0.1260346792156365,1.0343454297986137
empirical,BoardInsulation [EPS],47,Variable,silverman_guarded,0.48913837153394674,0.4812266979160322,0.25855259491783505,0.16356021315500902,1.0544807629251938
empirical,BoardInsulation [PIR or PUR],50,Uniform,scott,0.6789003360569263,0.4847433550429659,0.5397448228107244,0.20895173059585312,1.655491171525245
empirical,BoardInsulation [PIR or PUR],50,Uniform,silverman,0.28564116532683914,0.2039513746938318,0.30729430921447887,0.08114030654459199,1.5637095678959045
empirical,BoardInsulation [PIR or PUR],50,Uniform,silverman_guarded,0.28564116532683914,0.2039513746938318,0.30729430921447887,0.08114030654459199,1.5637095678959045
empirical,BoardInsulation [PIR or PUR],50,Variable,scott,0.5274334121402626,0.569774223945271,0.2853456598022346,0.1698944988865012,1.0839858238185809
empirical,BoardInsulation [PIR or PUR],50,Variable,silverman,0.3399270998626987,0.3672154532954184,0.1747120807871108,0.10238007918768681,1.047756849922984
empirical,BoardInsulation [PIR or PUR],50,Variable,silverman_guarded,0.4478208216285249,0.4837705675007018,0.23838205609297547,0.14464006155597522,1.0678454286541819
empirical,BoardInsulation [XPS],19,Uniform,scott,0.7431528207645296,0.5882408019980554,0.41351268091577403,0.21444636862423402,0.8696288357470809
empirical,BoardInsulation [XPS],19,Uniform,silverman,0.20445724637936738,0.1618376344999719,0.24224900909599842,0.05930121989197218,0.805027230527877
empirical,BoardInsulation [XPS],19,Uniform,silverman_guarded,0.6309788100830911,0.4994497375455187,0.35711241603885446,0.18992836198542687,0.8552154885731953
empirical,BoardInsulation [XPS],19,Variable,scott,1.0294326101987203,0.6437995282785833,0.6681327987963257,0.2493219761498083,1.1034892173078037
empirical,BoardInsulation [XPS],19,Variable,silverman,0.3299713356106281,0.20636162883024292,0.195367100061055,0.09912295336322381,1.0297731400476977
empirical,BoardInsulation [XPS],19,Variable,silverman_guarded,0.8740465558291022,0.54662224099125,0.560716996428976,0.22644941598722484,1.0861851637869786
empirical,BoardInsulation [mineral wool],77,Uniform,scott,0.287117485294192,0.44463917152137117,0.09603480865959002,0.020370535278121948,1.0585854661878222
empirical,BoardInsulation [mineral wool],77,Uniform,silverman,0.14326079147327112,0.22185816919823703,0.10670150242760229,0.002100513230781022,1.0067092637265203
empirical,BoardInsulation [mineral wool],77,Uniform,silverman_guarded,0.14326079147327112,0.22185816919823703,0.10670150242760229,0.002100513230781022,1.0067092637265203
empirical,BoardInsulation [mineral wool],77,Variable,scott,0.3273602618213899,0.49876258682784874,0.09628153154141236,0.021459993707224765,1.0940029162061407
empirical,BoardInsulation [mineral wool],77,Variable,silverman,0.2273172362159931,0.3463381051042333,0.0628029259425547,0.006507461572444105,1.05212882165398
empirical,BoardInsulation [mineral wool],77,Variable,silverman_guarded,0.2273172362159931,0.3463381051042333,0.0628029259425547,0.006507461572444105,1.05212882165398
empirical,BoardInsulation [other],7,Uniform,scott,0.5063278034209858,0.7182675682045098,0.3921156018036611,0.1128624338903023,1.1661004016776333
empirical,BoardInsulation [other],7,Uniform,silverman,0.37909986626358316,0.537784291536128,0.3306500282477639,0.07719212849369507,1.124273497346481
empirical,BoardInsulation [other],7,Uniform,silverman_guarded,0.42990096516876164,0.6098498220604329,0.35492786835966533,0.09187870360715024,1.1396217360139933
empirical,BoardInsulation [other],7,Variable,scott,0.5151169575986712,0.7743945494265466,0.27630050226312103,0.1538972828822425,1.1231090210698826
empirical,BoardInsulation [other],7,Variable,silverman,0.24114773226066555,0.3625263869001259,0.1381753285410687,0.049881950404860306,1.0404375532486605
empirical,BoardInsulation [other],7,Variable,silverman_guarded,0.4373634545649094,0.6575048061168791,0.2349687770242841,0.12820370689409258,1.0955249097475102
empirical,BoardInsulation [type not stated],131,Uniform,scott,0.33997600662671446,0.39980811618213374,0.22151965216520955,0.08425323785656137,1.1657006121934406
empirical,BoardInsulation [type not stated],131,Uniform,silverman,0.27304536153250386,0.3210983995892434,0.18969698745585437,0.06281618214158033,1.1545312648530188
empirical,BoardInsulation [type not stated],131,Uniform,silverman_guarded,0.27304536153250386,0.3210983995892434,0.18969698745585437,0.06281618214158033,1.1545312648530188
empirical,BoardInsulation [type not stated],131,Variable,scott,0.3489143539765089,0.4634881975836769,0.12171219292471835,0.08727724630424784,1.050258348962217
empirical,BoardInsulation [type not stated],131,Variable,silverman,0.25797215997144024,0.34268309712469097,0.07977925622478291,0.05581738881459843,1.0308027930245662
empirical,BoardInsulation [type not stated],131,Variable,silverman_guarded,0.25797215997144024,0.34268309712469097,0.07977925622478291,0.05581738881459843,1.0308027930245662
empirical,Brick,215,Uniform,scott,0.5337405664337003,0.36209136934398095,0.30493425772122384,0.13447820400314578,1.1803984204896272
empirical,Brick,215,Uniform,silverman,0.11599837252069672,0.07869368039296233,0.10588208422095988,0.012401619690215455,1.1027779609547312
empirical,Brick,215,Uniform,silverman_guarded,0.11599837252069672,0.07869368039296233,0.10588208422095988,0.012401619690215455,1.1027779609547312
empirical,Brick,215,Variable,scott,0.565229114818609,0.4199285051782034,0.23816221768585535,0.15005699400350825,1.0956055202150121
empirical,Brick,215,Variable,silverman,0.12987959083242717,0.0964920967472113,0.030569648360533004,0.014104359300295478,1.0088141290074144
empirical,Brick,215,Variable,silverman_guarded,0.12987959083242717,0.0964920967472113,0.030569648360533004,0.014104359300295478,1.0088141290074144
empirical,CMU [3000-3999 psi],137,Uniform,scott,0.1123423846820579,0.39624313572124625,0.04329301903864896,7.137736401658581e-07,0.9594648811965321
empirical,CMU [3000-3999 psi],137,Uniform,silverman,0.08086496935628024,0.28521905706753614,0.04331180491745713,3.835226895584016e-10,0.9275292734748427
empirical,CMU [3000-3999 psi],137,Uniform,silverman_guarded,0.08086496935628024,0.28521905706753614,0.04331180491745713,3.835226895584016e-10,0.9275292734748427
empirical,CMU [3000-3999 psi],137,Variable,scott,0.1446997772349277,0.4550352805673648,0.03785271273625598,4.5737055377608795e-05,1.0988947002016016
empirical,CMU [3000-3999 psi],137,Variable,silverman,0.122858301425882,0.3863507099156871,0.03175851567364049,6.585661288015973e-06,1.0724146169039612
empirical,CMU [3000-3999 psi],137,Variable,silverman_guarded,0.122858301425882,0.3863507099156871,0.03175851567364049,6.585661288015973e-06,1.0724146169039612
empirical,CMU [4000-4999 psi],18,Uniform,scott,0.16429011412578423,0.5946362270864858,0.1832017048097236,2.7094419290787452e-05,0.8510093689654655
empirical,CMU [4000-4999 psi],18,Uniform,silverman,0.12421372894808164,0.4495826393880295,0.18266744899560255,3.312193957956362e-07,0.8020524221899221
empirical,CMU [4000-4999 psi],18,Uniform,silverman_guarded,0.139491606333213,0.5048798154507897,0.1826432066121919,2.703512686271295e-06,0.8194713856642462
empirical,CMU [4000-4999 psi],18,Variable,scott,0.25853951203466913,0.6842182429791221,0.07970759644578178,0.0018083435407740458,1.204805617942126
empirical,CMU [4000-4999 psi],18,Variable,silverman,0.21951468002943608,0.580940017623783,0.06945223307838413,0.0005952356977180307,1.154443351659693
empirical,CMU [4000-4999 psi],18,Variable,silverman_guarded,0.21951468002943608,0.580940017623783,0.06945223307838413,0.0005952356977180307,1.154443351659693
empirical,CMU [5000-5999 psi],8,Uniform,scott,0.08046010986045411,0.699339192709634,0.06017572476516633,0.0,1.5856641230862922
empirical,CMU [5000-5999 psi],8,Uniform,silverman,0.03803540646583623,0.33059425966896855,0.04372163865142648,0.0,1.3680765698357473
empirical,CMU [5000-5999 psi],8,Uniform,silverman_guarded,0.0683151876173667,0.5937785598478024,0.055046137254888244,0.0,1.5110904191358288
empirical,CMU [5000-5999 psi],8,Variable,scott,0.07101056729814056,0.8014039421070097,0.037274480567496375,0.0,1.2827540118103675
empirical,CMU [5000-5999 psi],8,Variable,silverman,0.02476579316410692,0.2794993058961498,0.01653009068020716,0.0,1.0387827377718484
empirical,CMU [5000-5999 psi],8,Variable,silverman_guarded,0.060291991102194825,0.6804373093361404,0.033125662314626325,0.0,1.2106057589126098
empirical,CMU [<3000 psi],274,Uniform,scott,0.12251628320520087,0.3449496850043535,0.04851350485421557,2.2526216220721843e-05,1.1494292592586748
empirical,CMU [<3000 psi],274,Uniform,silverman,0.09138111520164392,0.2572873260557377,0.039383822365996496,7.784779954074614e-07,1.1220171351080763
empirical,CMU [<3000 psi],274,Uniform,silverman_guarded,0.09138111520164392,0.2572873260557377,0.039383822365996496,7.784779954074614e-07,1.1220171351080763
empirical,CMU [<3000 psi],274,Variable,scott,0.13066432831881666,0.39960085330635936,0.03127204319537425,2.7724670720406814e-05,1.0773537408526999
