arm,method,w1_mean,w1_median,w1_p90,w1_rank,w1_relative,heldout_mean,heldout_rank,heldout_rank_within,sd_ratio_median
empirical,"KDE, Variable",0.152964878625419,0.0865845757669616,0.3274249106561179,1.8053691275167785,0.6100385789798268,0.3599024004261865,3.813953488372093,2.0232558139534884,1.0560471596170495
empirical,"Lognormal, Variable",0.1778080285184748,0.1219578055977805,0.37103927580066576,2.6040268456375837,0.7470286667644078,0.3287749695094271,3.116279069767442,1.5813953488372092,1.000786861888457
empirical,"KDE, Uniform",0.19296456098532128,0.1380224210042882,0.40914559298171393,3.087248322147651,0.8335906113047364,0.3364703548166106,2.75968992248062,1.8372093023255813,1.0820306109470244
empirical,"Lognormal, Uniform",0.21061097440231122,0.1537774145378446,0.4186142090813659,3.825503355704698,0.9208418424234158,0.31160589428669433,2.496124031007752,1.6356589147286822,1.022962014282115
empirical,"Normal, Variable",0.43623805160325246,0.1969659347380368,0.8094556457483566,4.436241610738255,1.334521674900951,0.5658035713979751,4.534883720930233,2.395348837209302,0.8797046670768618
empirical,"Normal, Uniform",0.4900089492477817,0.232346175463275,0.8285028957919576,5.241610738255034,1.5539786256266621,0.5851387447288502,4.27906976744186,2.5271317829457365,0.9275277608826524
synthetic,"KDE, Variable",0.07784761463430229,0.0373801663629879,0.19190793499256759,1.4453445344534452,0.472923651644184,0.18868107614423216,2.955540809555408,1.8022561380225615,1.0440385252247482
synthetic,"Lognormal, Variable",0.0988365026918277,0.0712732966868349,0.20742717109521383,2.4888488848884887,0.7037803362756007,0.18396198017374324,2.8925016589250165,1.7312541473125416,0.9905664608765083
synthetic,"KDE, Uniform",0.16143303652767266,0.113016178178381,0.35674287480840305,3.815181518151815,1.0284034443213712,0.19598928122839318,3.1479761114797613,1.7690776376907764,1.0923667061347038
synthetic,"Normal, Variable",0.17242026536162686,0.1336204128210774,0.35150925725640786,3.851685168516852,1.1853878734167635,0.2551501397212406,4.323822163238222,2.466489714664897,0.9415418024775452
synthetic,"Lognormal, Uniform",0.1675685706075472,0.1210692208772317,0.3510898442196372,4.355035503550355,1.117260516203023,0.19282734792034661,3.229595222295952,1.7730590577305905,1.0370793693032798
synthetic,"Normal, Uniform",0.21869900029498598,0.1808572551006868,0.44054986450972006,5.043904390439044,1.4922441781390576,0.25545609442923717,4.45056403450564,2.457863304578633,0.9721247389253173
